Etape	m2	p2
466	275	0
467	276	0
468	277	0
469	277	0
470	277	0
471	278	0
472	278	0
473	279	0
474	279	0
475	280	0
476	280	0
477	281	0
478	282	0
479	283	0
480	284	0
481	285	0
482	285	0
483	286	0
484	286	0
485	287	0
486	288	0
487	289	0
488	290	0
489	290	0
490	290	0
491	290	0
492	291	0
493	291	0
494	292	0
495	292	0
496	292	0
497	293	0
498	294	0
499	294	0
500	295	0
501	295	0
502	295	0
503	295	0
504	296	0
505	297	0
506	297	0
507	298	0
508	299	0
509	299	0
510	300	0
511	300	0
512	300	0
513	301	0
514	302	0
515	302	0
516	303	0
517	303	0
518	304	0
519	304	0
520	305	0
521	306	0
522	307	0
523	307	0
524	308	0
525	308	0
526	308	0
527	309	0
528	309	0
529	310	0
530	310	0
531	311	0
532	312	0
533	312	0
534	312	0
535	313	0
536	314	0
537	315	0
538	316	0
539	316	0
540	316	0
541	317	0
542	318	0
543	319	0
544	320	0
545	320	0
546	321	0
547	322	0
548	322	0
549	323	0
550	324	0
551	325	0
552	325	0
553	325	0
554	325	0
555	325	0
556	325	0
557	325	0
558	325	0
559	326	0
560	326	0
561	327	0
562	328	0
563	329	0
564	330	0
565	331	0
566	331	0
567	331	0
568	332	0
569	333	0
570	334	0
571	335	0
572	336	0
573	336	0
574	336	0
575	336	0
576	337	0
577	337	0
578	338	0
579	339	0
580	340	0
581	340	0
582	341	0
583	342	0
584	343	0
585	344	0
586	345	0
587	345	0
588	346	0
589	346	0
590	346	0
591	346	0
592	347	0
593	348	0
594	348	0
595	349	0
596	350	0
597	351	0
598	352	0
599	353	0
600	353	0
601	353	0
602	353	0
603	354	0
604	355	0
605	356	0
606	356	0
607	356	0
608	356	0
609	357	0
610	358	0
611	359	0
612	360	0
613	361	0
614	361	0
615	362	0
616	362	0
617	363	0
618	364	0
619	364	0
620	364	0
621	365	0
622	366	0
623	367	0
624	367	0
625	368	0
626	368	0
627	369	0
628	370	0
629	370	0
630	370	0
631	370	0
632	371	0
633	371	0
634	372	0
635	373	0
636	373	0
637	374	0
638	374	0
639	375	0
640	375	0
641	376	0
642	376	0
643	377	0
644	378	0
645	379	0
646	379	0
647	380	0
648	381	0
649	382	0
650	382	0
651	382	0
652	383	0
653	384	0
654	384	0
655	385	0
656	385	0
657	386	0
